中国大陆,#genre#
NewTV-军事评论,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226326/1.m3u8
NewTV-军旅剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226324/1.m3u8
NewTV-农业致富,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225930/1.m3u8
NewTV-明星大片,http:///otttv.bj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8
NewTV-金牌综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225920/1.m3u8
NewTV-故障剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225916/1.m3u8
NewTV-炫舞未来,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
NewTV-健康有约,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225919/1.m3u8
NewTV-爱情喜剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
NewTV-海外剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225917/1.m3u8
NewTV-家庭剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225918/1.m3u8
NewTV-惊悚悬疑,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225921/1.m3u8
NewTV-超级电视剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225864/1.m3u8
NewTV-超级电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226133/1.m3u8
NewTV-超级体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
NewTV-超级综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
NewTV-搏击,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8
NewTV-精品大剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
NewTV-精品记录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225924/1.m3u8
